household_type,income_group,year,federal_tax,individual_income_tax,payroll_tax,corporate_income_tax,excise_tax
all_households,lowest_quintile,1980,11.7,1.5,7.4,1.4,1.5
all_households,lowest_quintile,1981,12.8,1.9,8.3,1.1,1.4
all_households,lowest_quintile,1982,12.6,1.7,8.6,0.7,1.6
all_households,lowest_quintile,1983,13.8,1.6,9.0,1.0,2.2
all_households,lowest_quintile,1984,14.6,1.9,9.1,1.1,2.4
all_households,lowest_quintile,1985,14.9,1.9,9.7,1.0,2.4
all_households,lowest_quintile,1986,14.5,1.6,9.6,1.0,2.2
all_households,lowest_quintile,1987,13.3,0.2,9.5,1.3,2.3
all_households,lowest_quintile,1988,13.1,-0.3,9.9,1.2,2.2
all_households,lowest_quintile,1989,12.4,-0.7,10.0,1.2,1.9
all_households,lowest_quintile,1990,13.8,0.3,10.4,1.1,2.0
all_households,lowest_quintile,1991,13.6,-0.2,10.5,1.0,2.2
all_households,lowest_quintile,1992,13.3,-0.6,10.5,1.1,2.3
all_households,lowest_quintile,1993,13.6,-0.7,10.6,1.3,2.5
all_households,lowest_quintile,1994,12.2,-2.1,10.4,1.3,2.6
all_households,lowest_quintile,1995,12.1,-2.4,10.7,1.4,2.4
all_households,lowest_quintile,1996,11.6,-2.8,10.8,1.4,2.2
all_households,lowest_quintile,1997,11.9,-2.4,10.8,1.4,2.2
all_households,lowest_quintile,1998,11.3,-3.0,10.9,1.2,2.1
all_households,lowest_quintile,1999,11.4,-2.7,10.6,1.2,2.3
all_households,lowest_quintile,2000,10.8,-3.1,10.8,1.1,2.1
all_households,lowest_quintile,2001,9.7,-4.0,10.7,0.8,2.2
all_households,lowest_quintile,2002,9.4,-4.1,10.6,0.8,2.2
all_households,lowest_quintile,2003,9.1,-4.4,10.3,1.0,2.2
all_households,lowest_quintile,2004,8.9,-4.4,10.3,1.1,1.9
all_households,lowest_quintile,2005,9.3,-4.6,10.4,1.4,2.0
all_households,lowest_quintile,2006,9.6,-4.8,10.8,1.6,2.0
all_households,lowest_quintile,2007,9.1,-4.6,10.8,1.3,1.5
all_households,lowest_quintile,2008,5.4,-7.8,10.7,0.8,1.7
all_households,lowest_quintile,2009,4.8,-8.2,10.6,0.7,1.7
all_households,lowest_quintile,2010,5.5,-7.8,10.5,0.9,1.9
all_households,lowest_quintile,2011,5.7,-6.2,9.1,0.9,2.0
all_households,lowest_quintile,2012,5.8,-6.3,9.1,1.0,2.0
all_households,lowest_quintile,2013,7.6,-6.2,10.6,1.1,2.1
all_households,lowest_quintile,2014,7.9,-5.9,10.6,1.1,2.1
all_households,lowest_quintile,2015,7.7,-5.6,10.3,1.0,1.9
all_households,lowest_quintile,2016,7.9,-5.1,10.3,1.0,1.8
all_households,lowest_quintile,2017,7.6,-5.2,10.2,0.7,1.8
all_households,second_quintile,1979,16.0,4.8,8.1,1.8,1.3
all_households,second_quintile,1980,15.8,5.2,8.0,1.4,1.1
all_households,second_quintile,1981,16.4,5.7,8.7,1.1,1.0
all_households,second_quintile,1982,15.3,5.0,8.6,0.6,1.1
all_households,second_quintile,1983,15.2,4.5,8.5,0.8,1.3
all_households,second_quintile,1984,16.0,4.7,8.9,1.0,1.4
all_households,second_quintile,1985,16.0,4.6,9.2,0.9,1.4
all_households,second_quintile,1986,16.1,4.6,9.3,0.9,1.3
all_households,second_quintile,1987,15.4,3.8,9.1,1.2,1.4
all_households,second_quintile,1988,15.7,3.7,9.5,1.2,1.4
all_households,second_quintile,1989,15.5,3.6,9.5,1.1,1.2
all_households,second_quintile,1990,16.2,4.0,9.9,1.0,1.3
all_households,second_quintile,1991,15.8,3.6,9.8,0.9,1.5
all_households,second_quintile,1992,15.6,3.4,9.7,1.0,1.5
all_households,second_quintile,1993,15.5,3.2,9.5,1.2,1.6
all_households,second_quintile,1994,15.2,2.7,9.5,1.2,1.7
all_households,second_quintile,1995,15.4,2.8,9.7,1.3,1.6
all_households,second_quintile,1996,15.3,2.6,9.8,1.3,1.5
all_households,second_quintile,1997,15.5,2.8,10.0,1.2,1.5
all_households,second_quintile,1998,14.9,2.3,10.0,1.1,1.5
all_households,second_quintile,1999,15.0,2.2,10.1,1.1,1.6
all_households,second_quintile,2000,15.0,2.4,10.1,1.1,1.4
all_households,second_quintile,2001,13.3,1.1,10.0,0.8,1.4
all_households,second_quintile,2002,12.7,0.7,9.9,0.7,1.4
all_households,second_quintile,2003,11.8,-0.1,9.7,0.9,1.4
all_households,second_quintile,2004,12.1,0.1,9.6,1.0,1.3
all_households,second_quintile,2005,12.1,-0.1,9.6,1.3,1.3
all_households,second_quintile,2006,12.4,0.1,9.7,1.4,1.2
all_households,second_quintile,2007,12.7,0.5,9.9,1.2,1.0
all_households,second_quintile,2008,9.4,-2.2,9.8,0.8,1.0
all_households,second_quintile,2009,9.0,-2.2,9.5,0.6,1.0
all_households,second_quintile,2010,9.3,-2.0,9.4,0.8,1.1
all_households,second_quintile,2011,9.2,-0.9,8.2,0.8,1.1
all_households,second_quintile,2012,9.4,-0.8,8.2,0.9,1.2
all_households,second_quintile,2013,11.0,-0.7,9.5,1.0,1.2
all_households,second_quintile,2014,11.1,-0.8,9.5,1.0,1.3
all_households,second_quintile,2015,11.1,-0.6,9.6,0.9,1.2
all_households,second_quintile,2016,11.3,-0.3,9.6,0.9,1.2
all_households,second_quintile,2017,11.2,-0.1,9.5,0.7,1.2
all_households,middle_quintile,1979,19.4,7.7,8.6,1.9,1.1
all_households,middle_quintile,1980,19.5,8.3,8.7,1.6,0.9
all_households,middle_quintile,1981,20.1,8.7,9.3,1.2,0.9
all_households,middle_quintile,1982,18.7,7.9,9.2,0.8,0.9
all_households,middle_quintile,1983,18.0,7.0,9.0,1.0,1.0
all_households,middle_quintile,1984,18.6,7.0,9.4,1.2,1.1
all_households,middle_quintile,1985,18.8,6.9,9.7,1.1,1.1
all_households,middle_quintile,1986,18.8,6.8,9.8,1.1,1.0
all_households,middle_quintile,1987,18.1,6.0,9.6,1.4,1.1
all_households,middle_quintile,1988,18.6,6.1,10.0,1.4,1.1
all_households,middle_quintile,1989,18.5,6.1,10.1,1.3,1.0
all_households,middle_quintile,1990,18.6,6.2,10.1,1.2,1.0
all_households,middle_quintile,1991,18.4,6.0,10.0,1.2,1.2
all_households,middle_quintile,1992,18.0,5.7,9.9,1.2,1.2
all_households,middle_quintile,1993,18.0,5.6,9.9,1.4,1.2
all_households,middle_quintile,1994,18.1,5.5,9.9,1.5,1.3
all_households,middle_quintile,1995,18.2,5.4,9.9,1.6,1.3
all_households,middle_quintile,1996,18.2,5.5,10.0,1.5,1.2
all_households,middle_quintile,1997,18.3,5.7,10.0,1.5,1.1
all_households,middle_quintile,1998,17.7,5.2,10.0,1.4,1.2
all_households,middle_quintile,1999,17.8,5.2,10.1,1.4,1.3
all_households,middle_quintile,2000,17.6,5.2,10.0,1.3,1.2
all_households,middle_quintile,2001,16.2,4.1,10.0,0.9,1.1
all_households,middle_quintile,2002,15.6,3.8,9.9,0.8,1.1
all_households,middle_quintile,2003,14.8,3.1,9.7,1.0,1.1
all_households,middle_quintile,2004,15.0,3.1,9.6,1.2,1.0
all_households,middle_quintile,2005,15.3,3.2,9.6,1.5,1.0
all_households,middle_quintile,2006,15.2,3.2,9.5,1.6,0.9
all_households,middle_quintile,2007,15.3,3.5,9.6,1.4,0.8
all_households,middle_quintile,2008,12.7,1.5,9.5,0.8,0.8
all_households,middle_quintile,2009,12.3,1.6,9.3,0.7,0.8
all_households,middle_quintile,2010,12.7,1.8,9.1,0.9,0.8
all_households,middle_quintile,2011,12.3,2.7,7.9,0.9,0.9
all_households,middle_quintile,2012,12.6,2.8,7.9,0.9,0.9
all_households,middle_quintile,2013,14.1,3.0,9.2,1.1,0.9
all_households,middle_quintile,2014,14.3,2.8,9.3,1.1,1.0
all_households,middle_quintile,2015,14.4,3.1,9.3,1.1,1.0
all_households,middle_quintile,2016,14.3,3.1,9.3,1.0,0.9
all_households,middle_quintile,2017,14.4,3.3,9.4,0.8,0.9
all_households,fourth_quintile,1979,21.6,10.1,8.4,2.2,0.9
all_households,fourth_quintile,1980,21.7,10.7,8.3,1.9,0.8
all_households,fourth_quintile,1981,22.2,11.1,8.9,1.5,0.7
all_households,fourth_quintile,1982,20.6,10.0,8.9,0.9,0.8
all_households,fourth_quintile,1983,20.1,9.1,8.9,1.2,0.9
all_households,fourth_quintile,1984,20.2,8.8,9.1,1.4,1.0
all_households,fourth_quintile,1985,20.4,8.8,9.4,1.2,0.9
all_households,fourth_quintile,1986,20.5,8.8,9.6,1.3,0.9
all_households,fourth_quintile,1987,20.3,8.2,9.5,1.7,0.9
all_households,fourth_quintile,1988,20.7,8.3,9.9,1.6,0.9
all_households,fourth_quintile,1989,20.6,8.4,9.8,1.6,0.9
all_households,fourth_quintile,1990,20.6,8.3,10.0,1.5,0.9
all_households,fourth_quintile,1991,20.3,8.0,9.9,1.4,1.0
all_households,fourth_quintile,1992,20.1,7.8,9.9,1.4,1.0
all_households,fourth_quintile,1993,20.1,7.6,9.8,1.6,1.0
all_households,fourth_quintile,1994,20.4,7.7,9.9,1.7,1.1
all_households,fourth_quintile,1995,20.4,7.6,9.8,1.8,1.1
all_households,fourth_quintile,1996,20.3,7.7,9.8,1.8,0.9
all_households,fourth_quintile,1997,20.4,7.9,9.8,1.8,0.9
all_households,fourth_quintile,1998,20.3,7.8,9.9,1.6,0.9
all_households,fourth_quintile,1999,20.4,7.9,9.9,1.6,1.0
all_households,fourth_quintile,2000,20.4,8.1,9.9,1.5,0.9
all_households,fourth_quintile,2001,19.0,7.1,10.0,1.0,0.9
all_households,fourth_quintile,2002,18.2,6.7,9.7,0.9,0.9
all_households,fourth_quintile,2003,17.5,5.7,9.7,1.2,0.9
all_households,fourth_quintile,2004,17.6,5.8,9.6,1.4,0.9
all_households,fourth_quintile,2005,18.0,5.8,9.5,1.8,0.8
all_households,fourth_quintile,2006,18.0,5.9,9.4,1.9,0.7
all_households,fourth_quintile,2007,17.7,6.1,9.4,1.6,0.7
all_households,fourth_quintile,2008,15.7,4.7,9.4,1.0,0.6
all_households,fourth_quintile,2009,15.2,4.6,9.2,0.8,0.6
all_households,fourth_quintile,2010,15.5,4.9,9.0,1.0,0.6
all_households,fourth_quintile,2011,15.3,5.8,7.9,1.0,0.7
all_households,fourth_quintile,2012,15.6,6.0,7.9,1.1,0.7
all_households,fourth_quintile,2013,17.1,6.1,9.1,1.2,0.7
all_households,fourth_quintile,2014,17.5,6.2,9.2,1.3,0.8
all_households,fourth_quintile,2015,17.6,6.4,9.2,1.2,0.8
all_households,fourth_quintile,2016,17.4,6.4,9.1,1.1,0.7
all_households,fourth_quintile,2017,17.5,6.7,9.2,0.9,0.7
all_households,highest_quintile,1979,26.6,15.6,5.3,5.1,0.7
all_households,highest_quintile,1980,26.4,16.3,5.3,4.1,0.6
all_households,highest_quintile,1981,25.9,16.3,5.8,3.3,0.6
all_households,highest_quintile,1982,23.5,15.0,5.9,2.0,0.6
all_households,highest_quintile,1983,23.0,13.8,6.0,2.5,0.7
all_households,highest_quintile,1984,23.1,13.6,6.0,2.8,0.7
all_households,highest_quintile,1985,23.1,13.7,6.1,2.6,0.7
all_households,highest_quintile,1986,23.0,13.9,5.8,2.6,0.6
all_households,highest_quintile,1987,25.1,14.7,6.5,3.3,0.7
all_households,highest_quintile,1988,24.9,14.7,6.3,3.3,0.6
all_households,highest_quintile,1989,24.5,14.5,6.3,3.2,0.6
all_households,highest_quintile,1990,24.4,14.2,6.6,3.0,0.6
all_households,highest_quintile,1991,24.6,14.1,7.1,2.8,0.7
all_households,highest_quintile,1992,24.9,14.3,6.9,3.0,0.7
all_households,highest_quintile,1993,25.9,14.7,7.0,3.5,0.7
all_households,highest_quintile,1994,26.5,14.9,7.2,3.7,0.7
all_households,highest_quintile,1995,27.0,15.4,6.9,4.0,0.7
all_households,highest_quintile,1996,27.2,15.9,6.6,4.0,0.6
all_households,highest_quintile,1997,27.2,16.2,6.4,4.0,0.6
all_households,highest_quintile,1998,26.9,16.4,6.3,3.6,0.6
all_households,highest_quintile,1999,27.4,17.1,6.2,3.5,0.6
all_households,highest_quintile,2000,27.4,17.4,6.1,3.3,0.5
all_households,highest_quintile,2001,26.2,16.3,6.9,2.5,0.5
all_households,highest_quintile,2002,25.4,15.5,7.1,2.3,0.5
all_households,highest_quintile,2003,24.4,13.7,7.0,3.2,0.5
all_households,highest_quintile,2004,24.7,13.9,6.4,3.8,0.5
all_households,highest_quintile,2005,25.1,14.1,5.9,4.7,0.5
all_households,highest_quintile,2006,25.1,14.1,5.7,4.9,0.4
all_households,highest_quintile,2007,24.4,14.4,5.6,4.1,0.4
all_households,highest_quintile,2008,23.3,13.9,6.3,2.7,0.4
all_households,highest_quintile,2009,22.7,13.3,6.9,2.2,0.4
all_households,highest_quintile,2010,23.5,13.6,6.5,3.0,0.4
all_households,highest_quintile,2011,23.1,14.1,5.7,2.9,0.4
all_households,highest_quintile,2012,23.6,14.5,5.3,3.3,0.4
all_households,highest_quintile,2013,25.7,15.3,6.4,3.6,0.4
all_households,highest_quintile,2014,26.2,15.8,6.1,3.8,0.4
all_households,highest_quintile,2015,26.2,16.0,6.2,3.5,0.4
all_households,highest_quintile,2016,25.9,15.9,6.3,3.4,0.4
all_households,highest_quintile,2017,25.6,16.4,6.2,2.5,0.4
all_households,percentiles_81_90,1979,23.4,12.2,7.7,2.7,0.9
all_households,percentiles_81_90,1980,23.8,13.1,7.7,2.2,0.7
all_households,percentiles_81_90,1981,24.1,13.4,8.3,1.8,0.7
all_households,percentiles_81_90,1982,22.2,12.1,8.3,1.1,0.7
all_households,percentiles_81_90,1983,21.5,10.9,8.4,1.4,0.8
all_households,percentiles_81_90,1984,21.7,10.6,8.7,1.6,0.8
all_households,percentiles_81_90,1985,21.7,10.6,8.9,1.4,0.8
all_households,percentiles_81_90,1986,22.0,10.6,9.1,1.4,0.8
all_households,percentiles_81_90,1987,22.5,10.5,9.2,1.9,0.8
all_households,percentiles_81_90,1988,22.6,10.5,9.5,1.8,0.8
all_households,percentiles_81_90,1989,22.5,10.6,9.4,1.8,0.8
all_households,percentiles_81_90,1990,22.4,10.4,9.5,1.7,0.8
all_households,percentiles_81_90,1991,22.3,10.2,9.6,1.6,0.8
all_households,percentiles_81_90,1992,22.1,10.0,9.6,1.7,0.9
all_households,percentiles_81_90,1993,22.1,9.9,9.5,1.9,0.9
all_households,percentiles_81_90,1994,22.6,10.1,9.7,2.0,0.9
all_households,percentiles_81_90,1995,22.7,10.2,9.5,2.1,0.9
all_households,percentiles_81_90,1996,22.6,10.2,9.3,2.2,0.8
all_households,percentiles_81_90,1997,22.8,10.5,9.4,2.1,0.8
all_households,percentiles_81_90,1998,22.9,10.6,9.6,1.9,0.8
all_households,percentiles_81_90,1999,23.2,10.9,9.6,1.8,0.9
all_households,percentiles_81_90,2000,23.1,11.1,9.5,1.8,0.8
all_households,percentiles_81_90,2001,22.0,10.1,9.9,1.2,0.8
all_households,percentiles_81_90,2002,21.2,9.6,9.8,1.1,0.7
all_households,percentiles_81_90,2003,20.3,8.5,9.8,1.4,0.7
all_households,percentiles_81_90,2004,20.4,8.5,9.6,1.6,0.7
all_households,percentiles_81_90,2005,20.5,8.5,9.3,2.1,0.7
all_households,percentiles_81_90,2006,20.6,8.6,9.2,2.3,0.6
all_households,percentiles_81_90,2007,20.3,8.7,9.1,1.9,0.6
all_households,percentiles_81_90,2008,18.8,7.8,9.4,1.1,0.5
all_households,percentiles_81_90,2009,18.3,7.6,9.3,0.9,0.5
all_households,percentiles_81_90,2010,18.8,8.0,9.2,1.2,0.5
all_households,percentiles_81_90,2011,18.4,8.7,7.9,1.2,0.5
all_households,percentiles_81_90,2012,18.7,8.9,7.9,1.3,0.6
all_households,percentiles_81_90,2013,20.2,9.1,9.0,1.6,0.6
all_households,percentiles_81_90,2014,20.4,9.2,9.0,1.6,0.7
all_households,percentiles_81_90,2015,20.5,9.5,8.9,1.5,0.7
all_households,percentiles_81_90,2016,20.5,9.5,9.0,1.4,0.6
all_households,percentiles_81_90,2017,20.6,9.8,9.1,1.1,0.6
all_households,percentiles_91_95,1979,24.6,13.9,6.7,3.3,0.8
all_households,percentiles_91_95,1980,24.8,14.7,6.6,2.9,0.7
all_households,percentiles_91_95,1981,25.0,15.0,7.1,2.2,0.6
all_households,percentiles_91_95,1982,22.8,13.4,7.4,1.3,0.6
all_households,percentiles_91_95,1983,22.1,12.2,7.4,1.7,0.7
all_households,percentiles_91_95,1984,22.3,12.0,7.6,2.0,0.8
all_households,percentiles_91_95,1985,22.5,12.1,7.9,1.7,0.7
all_households,percentiles_91_95,1986,22.6,12.1,8.1,1.7,0.7
all_households,percentiles_91_95,1987,23.9,12.6,8.3,2.2,0.7
all_households,percentiles_91_95,1988,23.6,12.3,8.5,2.2,0.7
all_households,percentiles_91_95,1989,23.5,12.4,8.3,2.2,0.7
all_households,percentiles_91_95,1990,23.4,12.1,8.5,2.2,0.7
all_households,percentiles_91_95,1991,23.4,11.9,8.9,1.9,0.8
all_households,percentiles_91_95,1992,23.3,11.8,8.7,2.1,0.8
all_households,percentiles_91_95,1993,23.6,11.6,8.7,2.4,0.8
all_households,percentiles_91_95,1994,24.1,12.0,8.9,2.4,0.8
all_households,percentiles_91_95,1995,24.4,12.1,8.9,2.6,0.8
all_households,percentiles_91_95,1996,24.5,12.4,8.7,2.7,0.7
all_households,percentiles_91_95,1997,24.6,12.7,8.5,2.7,0.7
all_households,percentiles_91_95,1998,24.5,13.0,8.5,2.3,0.7
all_households,percentiles_91_95,1999,25.0,13.4,8.5,2.3,0.8
all_households,percentiles_91_95,2000,24.9,13.5,8.5,2.1,0.7
all_households,percentiles_91_95,2001,23.9,12.7,9.1,1.4,0.7
all_households,percentiles_91_95,2002,23.1,12.1,9.1,1.3,0.6
all_households,percentiles_91_95,2003,22.0,10.6,9.1,1.7,0.6
all_households,percentiles_91_95,2004,22.2,10.7,8.8,2.0,0.6
all_households,percentiles_91_95,2005,22.4,10.7,8.5,2.6,0.6
all_households,percentiles_91_95,2006,22.4,10.8,8.2,2.8,0.5
all_households,percentiles_91_95,2007,22.1,11.0,8.2,2.4,0.5
all_households,percentiles_91_95,2008,21.1,10.6,8.7,1.4,0.5
all_households,percentiles_91_95,2009,20.5,10.1,8.8,1.1,0.5
all_households,percentiles_91_95,2010,20.9,10.5,8.5,1.4,0.5
all_households,percentiles_91_95,2011,20.6,11.2,7.5,1.4,0.5
all_households,percentiles_91_95,2012,20.9,11.4,7.4,1.6,0.5
all_households,percentiles_91_95,2013,22.3,11.4,8.4,1.9,0.5
all_households,percentiles_91_95,2014,22.7,11.7,8.3,2.1,0.6
all_households,percentiles_91_95,2015,22.8,12.0,8.4,1.9,0.6
all_households,percentiles_91_95,2016,22.7,12.0,8.3,1.8,0.5
all_households,percentiles_91_95,2017,22.7,12.4,8.4,1.4,0.5
all_households,percentiles_96_99,1979,26.9,16.8,4.2,5.2,0.7
all_households,percentiles_96_99,1980,26.9,17.6,4.4,4.3,0.6
all_households,percentiles_96_99,1981,26.6,17.8,4.7,3.4,0.5
all_households,percentiles_96_99,1982,24.0,16.4,5.1,1.9,0.5
all_households,percentiles_96_99,1983,22.9,14.5,5.3,2.5,0.6
all_households,percentiles_96_99,1984,23.0,14.3,5.4,2.6,0.6
all_households,percentiles_96_99,1985,23.1,14.4,5.6,2.5,0.6
all_households,percentiles_96_99,1986,23.0,14.6,5.4,2.4,0.6
all_households,percentiles_96_99,1987,25.4,15.6,5.8,3.4,0.6
all_households,percentiles_96_99,1988,25.0,15.3,5.8,3.2,0.6
all_households,percentiles_96_99,1989,24.8,15.4,5.8,3.1,0.6
all_households,percentiles_96_99,1990,24.7,15.1,6.1,2.9,0.6
all_households,percentiles_96_99,1991,25.0,14.8,6.8,2.7,0.6
all_households,percentiles_96_99,1992,25.1,14.8,6.7,2.9,0.6
all_households,percentiles_96_99,1993,25.9,15.0,7.0,3.3,0.7
all_households,percentiles_96_99,1994,26.2,15.2,7.0,3.3,0.7
all_households,percentiles_96_99,1995,26.8,15.8,6.7,3.7,0.6
all_households,percentiles_96_99,1996,26.9,16.2,6.5,3.6,0.6
all_households,percentiles_96_99,1997,27.1,16.6,6.2,3.7,0.6
all_households,percentiles_96_99,1998,27.0,17.0,6.2,3.2,0.6
all_households,percentiles_96_99,1999,27.6,17.7,6.2,3.2,0.6
all_households,percentiles_96_99,2000,27.5,17.9,6.1,3.0,0.5
all_households,percentiles_96_99,2001,26.3,16.9,6.7,2.1,0.5
all_households,percentiles_96_99,2002,25.6,16.1,7.1,1.9,0.5
all_households,percentiles_96_99,2003,24.6,14.5,7.1,2.5,0.5
all_households,percentiles_96_99,2004,25.0,14.8,6.6,3.0,0.5
all_households,percentiles_96_99,2005,25.5,15.1,6.1,3.9,0.5
all_households,percentiles_96_99,2006,25.6,15.2,5.9,4.0,0.4
all_households,percentiles_96_99,2007,25.1,15.5,5.8,3.4,0.4
all_households,percentiles_96_99,2008,24.2,15.3,6.5,2.0,0.4
all_households,percentiles_96_99,2009,23.5,14.4,7.1,1.6,0.4
all_households,percentiles_96_99,2010,24.2,15.0,6.8,2.1,0.4
all_households,percentiles_96_99,2011,23.9,15.5,6.0,2.1,0.4
all_households,percentiles_96_99,2012,24.4,16.0,5.7,2.3,0.4
all_households,percentiles_96_99,2013,25.9,16.0,6.6,2.9,0.4
all_households,percentiles_96_99,2014,26.3,16.4,6.4,3.1,0.4
all_households,percentiles_96_99,2015,26.3,16.7,6.3,2.8,0.4
all_households,percentiles_96_99,2016,26.2,16.8,6.4,2.6,0.4
all_households,percentiles_96_99,2017,26.0,17.1,6.4,2.1,0.4
all_households,top_1_percent,1979,34.0,21.7,0.9,10.9,0.5
all_households,top_1_percent,1980,31.9,21.9,1.0,8.6,0.4
all_households,top_1_percent,1981,29.2,20.8,1.2,6.9,0.4
all_households,top_1_percent,1982,25.8,19.6,1.5,4.3,0.3
all_households,top_1_percent,1983,26.1,19.1,1.5,5.2,0.4
all_households,top_1_percent,1984,26.2,18.8,1.4,5.6,0.4
all_households,top_1_percent,1985,25.5,18.6,1.4,5.1,0.4
all_households,top_1_percent,1986,24.2,18.1,1.1,4.6,0.4
all_households,top_1_percent,1987,29.7,21.5,1.6,6.2,0.4
all_households,top_1_percent,1988,28.4,20.9,1.3,5.8,0.3
all_households,top_1_percent,1989,27.6,20.1,1.5,5.7,0.3
all_households,top_1_percent,1990,27.4,20.0,1.6,5.5,0.3
all_households,top_1_percent,1991,28.6,20.7,2.2,5.3,0.4
all_households,top_1_percent,1992,29.3,21.4,1.9,5.7,0.3
all_households,top_1_percent,1993,32.8,23.5,2.1,6.9,0.4
all_households,top_1_percent,1994,34.0,23.4,2.7,7.6,0.4
all_households,top_1_percent,1995,34.6,24.1,2.4,7.6,0.3
all_households,top_1_percent,1996,34.6,24.6,2.3,7.4,0.3
all_households,top_1_percent,1997,33.6,24.2,2.1,7.0,0.3
all_households,top_1_percent,1998,32.2,23.7,2.0,6.3,0.3
all_households,top_1_percent,1999,32.4,24.2,2.0,5.9,0.3
all_households,top_1_percent,2000,32.0,24.4,1.9,5.4,0.2
all_households,top_1_percent,2001,31.8,24.4,2.3,4.8,0.2
all_households,top_1_percent,2002,31.6,24.0,2.5,4.9,0.3
all_households,top_1_percent,2003,30.1,20.8,2.3,6.7,0.3
all_households,top_1_percent,2004,29.8,20.1,2.0,7.5,0.3
all_households,top_1_percent,2005,30.0,19.7,1.7,8.4,0.2
all_households,top_1_percent,2006,29.7,19.3,1.6,8.5,0.2
all_households,top_1_percent,2007,28.1,19.4,1.6,7.0,0.1
all_households,top_1_percent,2008,27.8,20.3,2.0,5.4,0.2
all_households,top_1_percent,2009,28.4,20.8,2.5,4.9,0.2
all_households,top_1_percent,2010,29.0,20.0,2.2,6.6,0.2
all_households,top_1_percent,2011,28.8,20.1,2.1,6.4,0.2
all_households,top_1_percent,2012,28.4,19.8,1.7,6.7,0.2
all_households,top_1_percent,2013,33.3,23.5,2.4,7.2,0.2
all_households,top_1_percent,2014,33.3,23.7,2.1,7.3,0.2
all_households,top_1_percent,2015,33.0,23.7,2.2,6.9,0.2
all_households,top_1_percent,2016,32.8,23.5,2.3,6.8,0.2
all_households,top_1_percent,2017,31.3,24.1,2.2,4.8,0.2
hh_with_children,all_quintiles,1979,22.0,10.6,7.9,2.5,1.0
hh_with_children,all_quintiles,1980,22.2,11.2,8.0,2.0,0.8
hh_with_children,all_quintiles,1981,22.8,11.6,8.8,1.6,0.8
hh_with_children,all_quintiles,1982,21.3,10.5,9.0,1.0,0.8
hh_with_children,all_quintiles,1983,21.2,10.0,9.0,1.3,1.0
hh_with_children,all_quintiles,1984,21.7,9.9,9.3,1.5,1.0
hh_with_children,all_quintiles,1985,21.5,9.6,9.6,1.3,1.0
hh_with_children,all_quintiles,1986,21.7,10.2,9.2,1.4,0.9
hh_with_children,all_quintiles,1987,22.2,9.9,9.5,1.8,0.9
