household_type,income_group,year,inc_before_transfers_taxes,market_income,wages,employee_contrib_deferred_comp,employer_contrib_health_ins,employer_share_payroll_taxes,federal_unemployment_tax,corp_tax_borne_by_labor,business_income,capital_gains,tax_exempt_interest,taxable_interest,positive_rental_income,dividends,corp_tax_borne_by_capital,other_market_income,social_insurance_benefits,social_security,medicare,unemployment_insurance,workers_compensation
all_households,all_quintiles,1989,76900.0,70900.0,45800.0,600.0,2400.0,2900.0,100.0,400.0,3900.0,2700.0,700.0,4200.0,600.0,1500.0,1300.0,3700.0,6000.0,4000.0,1500.0,200.0,200.0
all_households,all_quintiles,1990,76500.0,70300.0,46000.0,600.0,2400.0,3000.0,100.0,400.0,3900.0,2000.0,700.0,4100.0,600.0,1400.0,1300.0,3800.0,6200.0,4100.0,1700.0,300.0,200.0
all_households,all_quintiles,1991,74700.0,68100.0,45100.0,600.0,2300.0,3000.0,100.0,400.0,3600.0,1700.0,700.0,3600.0,600.0,1300.0,1100.0,3900.0,6600.0,4200.0,1800.0,400.0,200.0
all_households,all_quintiles,1992,76700.0,69800.0,46100.0,800.0,2600.0,3000.0,100.0,400.0,4100.0,1900.0,700.0,2700.0,600.0,1300.0,1300.0,4200.0,6900.0,4300.0,1900.0,500.0,200.0
all_households,all_quintiles,1993,77000.0,69900.0,45800.0,800.0,2900.0,3000.0,100.0,500.0,4000.0,2300.0,700.0,2100.0,700.0,1300.0,1400.0,4200.0,7100.0,4400.0,2000.0,400.0,200.0
all_households,all_quintiles,1994,77900.0,70800.0,46200.0,900.0,3100.0,3100.0,100.0,500.0,4300.0,2200.0,700.0,2000.0,700.0,1300.0,1600.0,4300.0,7000.0,4500.0,2100.0,300.0,200.0
all_households,all_quintiles,1995,81200.0,73900.0,47500.0,1100.0,3100.0,3200.0,100.0,600.0,4400.0,2500.0,700.0,2300.0,700.0,1400.0,1700.0,4500.0,7200.0,4500.0,2200.0,300.0,200.0
all_households,all_quintiles,1996,84300.0,77000.0,48400.0,1200.0,3100.0,3300.0,100.0,600.0,4700.0,3600.0,700.0,2400.0,700.0,1500.0,1800.0,4900.0,7400.0,4600.0,2400.0,300.0,100.0
all_households,all_quintiles,1997,88200.0,80800.0,50200.0,1300.0,2800.0,3400.0,100.0,600.0,4900.0,4900.0,700.0,2400.0,700.0,1700.0,1900.0,5200.0,7500.0,4600.0,2400.0,200.0,200.0
all_households,all_quintiles,1998,92900.0,85600.0,52800.0,1400.0,2800.0,3500.0,100.0,600.0,5300.0,6000.0,700.0,2400.0,700.0,1600.0,1800.0,5800.0,7400.0,4700.0,2300.0,200.0,100.0
all_households,all_quintiles,1999,97500.0,90200.0,55100.0,1600.0,2800.0,3700.0,100.0,600.0,5700.0,7200.0,700.0,2300.0,700.0,1800.0,1900.0,6200.0,7200.0,4600.0,2300.0,200.0,200.0
all_households,all_quintiles,2000,100100.0,92800.0,56200.0,1600.0,2900.0,3700.0,100.0,600.0,5500.0,7800.0,700.0,2500.0,700.0,1900.0,1800.0,6800.0,7300.0,4700.0,2300.0,200.0,200.0
all_households,all_quintiles,2001,94600.0,86900.0,55800.0,1700.0,3000.0,3800.0,100.0,400.0,5400.0,4000.0,700.0,2400.0,800.0,1500.0,1300.0,6300.0,7700.0,4800.0,2400.0,300.0,100.0
all_households,all_quintiles,2002,90900.0,82800.0,54100.0,1500.0,3300.0,3600.0,100.0,400.0,5300.0,2800.0,600.0,1800.0,700.0,1200.0,1100.0,6300.0,8100.0,4900.0,2500.0,500.0,100.0
all_households,all_quintiles,2003,92500.0,84200.0,53700.0,1800.0,3600.0,3600.0,100.0,500.0,5500.0,3400.0,600.0,1500.0,700.0,1300.0,1500.0,6300.0,8200.0,5000.0,2600.0,500.0,200.0
all_households,all_quintiles,2004,97700.0,89400.0,54800.0,1900.0,4000.0,3700.0,100.0,600.0,6300.0,5200.0,600.0,1400.0,700.0,1600.0,1900.0,6500.0,8300.0,5000.0,2700.0,400.0,100.0
all_households,all_quintiles,2005,102900.0,94600.0,55300.0,2000.0,4200.0,3700.0,100.0,900.0,7200.0,7100.0,600.0,1700.0,800.0,1800.0,2600.0,6700.0,8400.0,5100.0,2800.0,300.0,200.0
all_households,all_quintiles,2006,106900.0,98100.0,56400.0,2100.0,4200.0,3700.0,100.0,900.0,7300.0,8000.0,700.0,2300.0,800.0,2000.0,2800.0,6900.0,8800.0,5200.0,3200.0,300.0,100.0
all_households,all_quintiles,2007,110300.0,101300.0,58200.0,2200.0,3900.0,3900.0,100.0,800.0,7000.0,9000.0,800.0,2700.0,800.0,2400.0,2400.0,7400.0,8900.0,5300.0,3200.0,300.0,100.0
all_households,all_quintiles,2008,102400.0,93100.0,57400.0,2200.0,3900.0,3800.0,100.0,500.0,6100.0,4500.0,800.0,2200.0,900.0,2100.0,1500.0,7300.0,9300.0,5400.0,3400.0,400.0,100.0
all_households,all_quintiles,2009,96300.0,85600.0,54900.0,2000.0,3900.0,3700.0,100.0,400.0,5700.0,2200.0,700.0,1600.0,800.0,1600.0,1100.0,7000.0,10800.0,5900.0,3600.0,1100.0,100.0
all_households,all_quintiles,2010,98000.0,87200.0,54100.0,2000.0,3700.0,3600.0,100.0,500.0,6200.0,3400.0,700.0,1300.0,800.0,1700.0,1500.0,7600.0,10800.0,5900.0,3600.0,1100.0,100.0
all_households,all_quintiles,2011,97900.0,87400.0,54300.0,2000.0,3700.0,3600.0,100.0,500.0,6500.0,3400.0,600.0,1100.0,800.0,1700.0,1500.0,7600.0,10500.0,5900.0,3600.0,800.0,100.0
all_households,all_quintiles,2012,102500.0,91900.0,54800.0,2000.0,3700.0,3600.0,0.0,600.0,7500.0,5400.0,600.0,1000.0,900.0,2300.0,1800.0,7700.0,10600.0,6100.0,3700.0,600.0,100.0
all_households,all_quintiles,2013,101200.0,90600.0,55300.0,2100.0,3600.0,3700.0,100.0,600.0,7200.0,4200.0,600.0,900.0,900.0,1800.0,1900.0,7700.0,10600.0,6300.0,3700.0,500.0,100.0
all_households,all_quintiles,2014,104800.0,94300.0,56400.0,2100.0,3600.0,3800.0,0.0,700.0,7600.0,5800.0,500.0,800.0,900.0,2100.0,2100.0,7800.0,10500.0,6400.0,3700.0,300.0,100.0
all_households,all_quintiles,2015,108100.0,97200.0,58400.0,2300.0,3700.0,3900.0,0.0,700.0,8000.0,5800.0,500.0,800.0,900.0,2100.0,2000.0,8200.0,10800.0,6600.0,3900.0,200.0,100.0
all_households,all_quintiles,2016,107200.0,96200.0,58600.0,2300.0,3700.0,3900.0,0.0,600.0,7800.0,5000.0,500.0,800.0,800.0,2000.0,1900.0,8200.0,11000.0,6700.0,4000.0,200.0,100.0
all_households,all_quintiles,2017,110700.0,99600.0,59800.0,2300.0,3800.0,4000.0,0.0,500.0,8100.0,6700.0,500.0,800.0,800.0,2200.0,1500.0,8400.0,11100.0,6700.0,4000.0,200.0,100.0
all_households,lowest_quintile,1979,15700.0,10200.0,7200.0,0.0,400.0,400.0,0.0,100.0,400.0,100.0,0.0,400.0,100.0,0.0,100.0,1000.0,5600.0,4000.0,1400.0,100.0,100.0
all_households,lowest_quintile,1980,15100.0,9700.0,6900.0,0.0,300.0,400.0,0.0,100.0,300.0,100.0,0.0,400.0,100.0,0.0,100.0,900.0,5400.0,3700.0,1400.0,200.0,100.0
all_households,lowest_quintile,1981,15000.0,9700.0,7000.0,0.0,300.0,500.0,0.0,100.0,200.0,100.0,0.0,400.0,100.0,100.0,100.0,900.0,5300.0,3500.0,1400.0,200.0,100.0
all_households,lowest_quintile,1982,14400.0,9700.0,7100.0,0.0,400.0,500.0,0.0,0.0,100.0,100.0,0.0,500.0,100.0,100.0,100.0,700.0,4800.0,3000.0,1300.0,400.0,100.0
all_households,lowest_quintile,1983,13800.0,9500.0,7000.0,0.0,400.0,400.0,0.0,100.0,200.0,100.0,0.0,400.0,100.0,100.0,100.0,700.0,4300.0,2600.0,1200.0,400.0,100.0
all_households,lowest_quintile,1984,14800.0,10400.0,7500.0,0.0,400.0,500.0,0.0,100.0,200.0,100.0,0.0,500.0,100.0,100.0,100.0,800.0,4400.0,2800.0,1300.0,200.0,100.0
all_households,lowest_quintile,1985,14700.0,10200.0,7400.0,0.0,400.0,500.0,0.0,100.0,300.0,100.0,0.0,500.0,100.0,100.0,100.0,700.0,4600.0,2800.0,1400.0,200.0,100.0
all_households,lowest_quintile,1986,14600.0,10300.0,7400.0,0.0,400.0,500.0,0.0,100.0,400.0,100.0,0.0,400.0,100.0,100.0,100.0,700.0,4300.0,2600.0,1300.0,200.0,100.0
all_households,lowest_quintile,1987,14100.0,9700.0,6700.0,0.0,400.0,500.0,0.0,100.0,500.0,100.0,0.0,400.0,100.0,100.0,100.0,700.0,4400.0,2700.0,1400.0,200.0,100.0
all_households,lowest_quintile,1988,14500.0,9900.0,6900.0,0.0,400.0,500.0,0.0,100.0,500.0,0.0,0.0,400.0,100.0,100.0,100.0,900.0,4600.0,2900.0,1500.0,200.0,100.0
all_households,lowest_quintile,1989,15200.0,10600.0,7400.0,0.0,400.0,500.0,0.0,100.0,500.0,100.0,0.0,400.0,100.0,100.0,100.0,900.0,4600.0,2700.0,1500.0,200.0,100.0
all_households,lowest_quintile,1990,15700.0,11000.0,7900.0,0.0,400.0,600.0,0.0,100.0,600.0,0.0,0.0,400.0,100.0,100.0,100.0,800.0,4700.0,2700.0,1600.0,200.0,100.0
all_households,lowest_quintile,1991,15800.0,11300.0,8100.0,0.0,400.0,600.0,0.0,100.0,500.0,0.0,0.0,400.0,100.0,100.0,100.0,800.0,4500.0,2500.0,1600.0,300.0,100.0
all_households,lowest_quintile,1992,15800.0,11400.0,8400.0,0.0,500.0,600.0,0.0,100.0,600.0,0.0,0.0,300.0,100.0,100.0,100.0,700.0,4400.0,2300.0,1500.0,500.0,100.0
all_households,lowest_quintile,1993,15800.0,11600.0,8400.0,0.0,500.0,600.0,0.0,100.0,700.0,100.0,0.0,200.0,100.0,100.0,100.0,800.0,4200.0,2200.0,1500.0,400.0,100.0
all_households,lowest_quintile,1994,15700.0,11500.0,8100.0,0.0,600.0,600.0,0.0,100.0,700.0,0.0,0.0,200.0,100.0,100.0,100.0,800.0,4300.0,2300.0,1600.0,200.0,100.0
all_households,lowest_quintile,1995,17000.0,12500.0,8900.0,100.0,600.0,700.0,0.0,100.0,800.0,0.0,0.0,200.0,100.0,100.0,100.0,800.0,4500.0,2400.0,1700.0,200.0,100.0
all_households,lowest_quintile,1996,16900.0,12700.0,9100.0,100.0,600.0,700.0,0.0,100.0,800.0,100.0,0.0,200.0,100.0,100.0,100.0,800.0,4200.0,2200.0,1700.0,200.0,100.0
all_households,lowest_quintile,1997,17900.0,13400.0,9700.0,100.0,600.0,700.0,0.0,100.0,900.0,100.0,0.0,200.0,100.0,100.0,100.0,800.0,4600.0,2400.0,1800.0,200.0,100.0
all_households,lowest_quintile,1998,19100.0,14500.0,10500.0,100.0,700.0,800.0,100.0,100.0,900.0,100.0,0.0,200.0,100.0,100.0,100.0,900.0,4600.0,2500.0,1800.0,200.0,100.0
all_households,lowest_quintile,1999,19800.0,14900.0,10500.0,100.0,700.0,800.0,0.0,100.0,1200.0,100.0,0.0,200.0,100.0,100.0,100.0,900.0,5000.0,2800.0,1900.0,200.0,100.0
all_households,lowest_quintile,2000,19600.0,14600.0,10300.0,100.0,700.0,800.0,0.0,100.0,1000.0,100.0,0.0,200.0,100.0,100.0,100.0,1000.0,5000.0,2800.0,1900.0,200.0,100.0
all_households,lowest_quintile,2001,19300.0,14200.0,10400.0,100.0,700.0,800.0,0.0,100.0,1000.0,0.0,0.0,200.0,100.0,100.0,100.0,700.0,5000.0,2700.0,2000.0,300.0,100.0
all_households,lowest_quintile,2002,19100.0,14200.0,10300.0,0.0,800.0,800.0,0.0,100.0,1000.0,-0.0,0.0,200.0,100.0,100.0,100.0,900.0,4900.0,2500.0,1900.0,400.0,100.0
all_households,lowest_quintile,2003,18800.0,14000.0,10000.0,0.0,800.0,700.0,0.0,100.0,1100.0,-0.0,0.0,100.0,100.0,100.0,100.0,900.0,4800.0,2400.0,2000.0,400.0,100.0
all_households,lowest_quintile,2004,19100.0,14300.0,10300.0,0.0,800.0,800.0,0.0,100.0,1100.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,4800.0,2400.0,2000.0,300.0,100.0
all_households,lowest_quintile,2005,19700.0,14800.0,10700.0,100.0,800.0,800.0,0.0,200.0,1100.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,4800.0,2400.0,2100.0,200.0,100.0
all_households,lowest_quintile,2006,20600.0,16200.0,11600.0,100.0,900.0,900.0,0.0,200.0,1300.0,0.0,0.0,200.0,100.0,100.0,100.0,800.0,4400.0,2100.0,2000.0,200.0,100.0
all_households,lowest_quintile,2007,22000.0,17200.0,12400.0,100.0,800.0,900.0,0.0,200.0,1300.0,100.0,0.0,200.0,100.0,100.0,100.0,1000.0,4800.0,2300.0,2100.0,200.0,100.0
all_households,lowest_quintile,2008,21600.0,16700.0,12200.0,100.0,800.0,900.0,0.0,100.0,1200.0,0.0,0.0,200.0,100.0,100.0,100.0,900.0,4900.0,2200.0,2200.0,400.0,100.0
all_households,lowest_quintile,2009,20600.0,15800.0,11400.0,100.0,700.0,900.0,0.0,100.0,1300.0,-0.0,0.0,200.0,100.0,100.0,100.0,900.0,4800.0,1800.0,2000.0,900.0,100.0
all_households,lowest_quintile,2010,20100.0,15500.0,11100.0,100.0,600.0,800.0,0.0,100.0,1600.0,-0.0,0.0,100.0,100.0,100.0,100.0,900.0,4600.0,1800.0,1800.0,1000.0,100.0
all_households,lowest_quintile,2011,20400.0,15600.0,11200.0,100.0,600.0,800.0,0.0,100.0,1600.0,-0.0,0.0,100.0,100.0,100.0,100.0,900.0,4800.0,1900.0,2000.0,800.0,100.0
all_households,lowest_quintile,2012,19600.0,15100.0,10600.0,100.0,700.0,800.0,0.0,100.0,1700.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,4500.0,1800.0,2000.0,600.0,100.0
all_households,lowest_quintile,2013,20300.0,16000.0,11300.0,100.0,700.0,800.0,0.0,100.0,1700.0,0.0,0.0,100.0,100.0,100.0,100.0,1000.0,4300.0,1900.0,1900.0,400.0,0.0
all_households,lowest_quintile,2014,19700.0,15300.0,10800.0,100.0,600.0,800.0,0.0,100.0,1700.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,4400.0,2100.0,2100.0,200.0,0.0
all_households,lowest_quintile,2015,20800.0,16100.0,11400.0,100.0,700.0,900.0,0.0,100.0,1700.0,0.0,0.0,100.0,100.0,100.0,100.0,900.0,4700.0,2300.0,2200.0,200.0,100.0
all_households,lowest_quintile,2016,21000.0,15900.0,11300.0,100.0,700.0,800.0,0.0,100.0,1700.0,0.0,0.0,100.0,100.0,100.0,100.0,900.0,5100.0,2400.0,2500.0,100.0,0.0
all_households,lowest_quintile,2017,21300.0,15900.0,11300.0,100.0,700.0,800.0,0.0,100.0,1700.0,100.0,0.0,100.0,100.0,100.0,0.0,900.0,5400.0,2500.0,2700.0,100.0,0.0
all_households,second_quintile,1979,37700.0,31300.0,23100.0,0.0,1300.0,1300.0,100.0,300.0,1100.0,200.0,0.0,1100.0,200.0,100.0,400.0,2200.0,6400.0,4700.0,1200.0,300.0,200.0
all_households,second_quintile,1980,36100.0,29300.0,21900.0,0.0,1000.0,1300.0,100.0,200.0,1000.0,100.0,0.0,1100.0,200.0,100.0,300.0,1900.0,6900.0,4900.0,1300.0,500.0,200.0
all_households,second_quintile,1981,35900.0,28900.0,21500.0,0.0,1100.0,1400.0,100.0,200.0,900.0,100.0,0.0,1200.0,200.0,200.0,200.0,1900.0,7000.0,5000.0,1400.0,400.0,100.0
all_households,second_quintile,1982,35100.0,27400.0,20400.0,0.0,1200.0,1300.0,100.0,100.0,800.0,100.0,0.0,1300.0,200.0,200.0,100.0,1600.0,7700.0,5200.0,1600.0,700.0,200.0
all_households,second_quintile,1983,34300.0,26500.0,19500.0,0.0,1200.0,1200.0,100.0,100.0,900.0,200.0,0.0,1200.0,100.0,100.0,200.0,1600.0,7800.0,5200.0,1700.0,600.0,200.0
all_households,second_quintile,1984,36400.0,29200.0,21200.0,100.0,1200.0,1400.0,100.0,200.0,1000.0,200.0,0.0,1300.0,200.0,200.0,200.0,2000.0,7200.0,4900.0,1700.0,400.0,200.0
all_households,second_quintile,1985,36400.0,29200.0,21300.0,100.0,1200.0,1400.0,100.0,200.0,900.0,200.0,0.0,1300.0,200.0,200.0,200.0,1900.0,7200.0,4900.0,1700.0,400.0,200.0
all_households,second_quintile,1986,36800.0,29200.0,21000.0,100.0,1300.0,1500.0,100.0,200.0,1100.0,200.0,0.0,1100.0,200.0,200.0,200.0,2100.0,7700.0,5200.0,1900.0,400.0,200.0
all_households,second_quintile,1987,36000.0,28100.0,20000.0,100.0,1300.0,1400.0,100.0,200.0,1200.0,100.0,0.0,1100.0,100.0,200.0,200.0,2000.0,7900.0,5400.0,2000.0,300.0,200.0
all_households,second_quintile,1988,36600.0,28800.0,20200.0,100.0,1300.0,1500.0,100.0,200.0,1200.0,100.0,0.0,1100.0,200.0,200.0,200.0,2300.0,7800.0,5300.0,2000.0,200.0,200.0
all_households,second_quintile,1989,36900.0,29100.0,20400.0,100.0,1300.0,1500.0,100.0,200.0,1300.0,100.0,0.0,1100.0,200.0,200.0,200.0,2300.0,7800.0,5300.0,2000.0,300.0,200.0
all_households,second_quintile,1990,38100.0,30200.0,21500.0,200.0,1400.0,1600.0,100.0,200.0,1300.0,0.0,0.0,1100.0,200.0,200.0,200.0,2300.0,8000.0,5300.0,2100.0,300.0,200.0
all_households,second_quintile,1991,37200.0,28800.0,20600.0,100.0,1300.0,1500.0,100.0,200.0,1200.0,100.0,0.0,1000.0,100.0,200.0,200.0,2200.0,8400.0,5500.0,2200.0,500.0,200.0
all_households,second_quintile,1992,36900.0,27900.0,19700.0,200.0,1400.0,1500.0,100.0,200.0,1200.0,100.0,0.0,800.0,100.0,200.0,200.0,2300.0,9000.0,5700.0,2500.0,600.0,200.0
all_households,second_quintile,1993,37000.0,27600.0,19500.0,200.0,1500.0,1500.0,100.0,200.0,1100.0,100.0,0.0,600.0,200.0,200.0,200.0,2300.0,9400.0,5900.0,2800.0,500.0,200.0
all_households,second_quintile,1994,37300.0,27800.0,19600.0,200.0,1600.0,1500.0,100.0,200.0,1100.0,100.0,0.0,500.0,200.0,200.0,200.0,2300.0,9500.0,6100.0,2900.0,300.0,200.0
all_households,second_quintile,1995,39300.0,29800.0,21100.0,200.0,1800.0,1600.0,100.0,300.0,1100.0,100.0,0.0,600.0,200.0,200.0,200.0,2400.0,9500.0,6000.0,3000.0,300.0,200.0
all_households,second_quintile,1996,39200.0,30000.0,21300.0,300.0,1800.0,1600.0,100.0,300.0,1200.0,100.0,0.0,500.0,200.0,200.0,200.0,2300.0,9200.0,5700.0,3000.0,300.0,100.0
all_households,second_quintile,1997,40700.0,31400.0,22400.0,300.0,1700.0,1700.0,100.0,300.0,1200.0,200.0,0.0,500.0,200.0,200.0,200.0,2500.0,9300.0,5800.0,3100.0,300.0,200.0
all_households,second_quintile,1998,42600.0,33300.0,23700.0,400.0,1700.0,1800.0,100.0,300.0,1300.0,200.0,0.0,500.0,100.0,200.0,200.0,2800.0,9300.0,5900.0,3000.0,300.0,200.0
all_households,second_quintile,1999,44100.0,35200.0,24900.0,400.0,1700.0,1900.0,100.0,300.0,1400.0,300.0,0.0,500.0,200.0,200.0,200.0,3000.0,8900.0,5600.0,2800.0,300.0,200.0
all_households,second_quintile,2000,44200.0,35500.0,24800.0,400.0,1800.0,1900.0,100.0,300.0,1300.0,300.0,0.0,600.0,200.0,200.0,200.0,3400.0,8700.0,5600.0,2700.0,200.0,200.0
all_households,second_quintile,2001,43600.0,34000.0,24200.0,400.0,1800.0,1800.0,100.0,200.0,1200.0,100.0,0.0,600.0,200.0,200.0,100.0,3000.0,9700.0,6100.0,3100.0,400.0,200.0
all_households,second_quintile,2002,42500.0,32500.0,23300.0,200.0,1900.0,1700.0,100.0,200.0,1300.0,-0.0,0.0,400.0,100.0,200.0,100.0,3000.0,9900.0,6000.0,3200.0,600.0,100.0
all_households,second_quintile,2003,42000.0,31500.0,22600.0,200.0,2000.0,1700.0,100.0,200.0,1100.0,-0.0,0.0,400.0,200.0,200.0,200.0,2700.0,10500.0,6400.0,3400.0,600.0,200.0
all_households,second_quintile,2004,43100.0,32500.0,22900.0,300.0,2300.0,1700.0,100.0,300.0,1200.0,0.0,0.0,300.0,200.0,200.0,200.0,3000.0,10500.0,6400.0,3600.0,400.0,200.0
all_households,second_quintile,2005,43500.0,33100.0,23300.0,300.0,2300.0,1700.0,100.0,400.0,1300.0,100.0,0.0,300.0,100.0,200.0,200.0,2900.0,10400.0,6300.0,3600.0,300.0,100.0
all_households,second_quintile,2006,44500.0,33800.0,23800.0,300.0,2400.0,1800.0,100.0,400.0,1300.0,100.0,0.0,400.0,100.0,200.0,200.0,2800.0,10700.0,6300.0,4000.0,300.0,100.0
all_households,second_quintile,2007,46600.0,36400.0,25800.0,300.0,2300.0,1900.0,100.0,400.0,1300.0,200.0,0.0,400.0,200.0,200.0,200.0,3100.0,10300.0,6100.0,3800.0,300.0,100.0
all_households,second_quintile,2008,45000.0,34000.0,24400.0,300.0,2200.0,1800.0,100.0,200.0,1100.0,0.0,0.0,400.0,200.0,200.0,100.0,3000.0,10900.0,6300.0,4100.0,500.0,100.0
all_households,second_quintile,2009,43600.0,31500.0,22500.0,300.0,2000.0,1700.0,100.0,200.0,1200.0,-100.0,0.0,300.0,200.0,200.0,100.0,2800.0,12100.0,6400.0,4300.0,1300.0,100.0
all_households,second_quintile,2010,43000.0,30900.0,22100.0,200.0,1900.0,1600.0,100.0,200.0,1200.0,-0.0,0.0,200.0,200.0,200.0,100.0,2900.0,12100.0,6400.0,4200.0,1400.0,100.0
all_households,second_quintile,2011,42800.0,30800.0,22000.0,200.0,1900.0,1600.0,100.0,200.0,1300.0,0.0,0.0,200.0,200.0,200.0,100.0,2700.0,12000.0,6600.0,4300.0,1000.0,100.0
all_households,second_quintile,2012,42500.0,30600.0,21700.0,300.0,2000.0,1600.0,0.0,200.0,1400.0,0.0,0.0,100.0,100.0,200.0,100.0,2800.0,11900.0,6700.0,4400.0,700.0,100.0
all_households,second_quintile,2013,43300.0,31200.0,22200.0,300.0,1900.0,1700.0,0.0,300.0,1300.0,100.0,0.0,100.0,200.0,200.0,100.0,3000.0,12100.0,7100.0,4400.0,500.0,100.0
all_households,second_quintile,2014,43400.0,31600.0,22600.0,300.0,1900.0,1700.0,0.0,300.0,1400.0,100.0,0.0,100.0,100.0,100.0,100.0,2800.0,11800.0,7000.0,4400.0,300.0,100.0
all_households,second_quintile,2015,45300.0,33100.0,23500.0,300.0,2000.0,1800.0,0.0,300.0,1400.0,100.0,0.0,100.0,200.0,200.0,100.0,3100.0,12300.0,7400.0,4500.0,200.0,100.0
all_households,second_quintile,2016,46100.0,33900.0,24300.0,300.0,2100.0,1800.0,0.0,300.0,1400.0,100.0,0.0,100.0,200.0,200.0,100.0,3000.0,12300.0,7400.0,4600.0,200.0,100.0
all_households,second_quintile,2017,46500.0,33800.0,24000.0,300.0,2100.0,1800.0,0.0,200.0,1500.0,100.0,0.0,100.0,200.0,200.0,100.0,3100.0,12700.0,7600.0,4700.0,200.0,100.0
all_households,middle_quintile,1979,57800.0,53500.0,40900.0,0.0,2100.0,2300.0,100.0,500.0,1600.0,300.0,0.0,1700.0,300.0,300.0,600.0,2600.0,4300.0,3100.0,800.0,300.0,200.0
all_households,middle_quintile,1980,55900.0,51000.0,39100.0,0.0,1800.0,2200.0,100.0,400.0,1400.0,300.0,0.0,2000.0,200.0,300.0,500.0,2500.0,4900.0,3300.0,900.0,500.0,200.0
all_households,middle_quintile,1981,55600.0,50300.0,38200.0,0.0,1800.0,2400.0,100.0,300.0,1200.0,200.0,0.0,2500.0,200.0,400.0,400.0,2500.0,5300.0,3700.0,1000.0,500.0,200.0
all_households,middle_quintile,1982,54800.0,48800.0,36900.0,0.0,1900.0,2300.0,100.0,200.0,1000.0,200.0,0.0,2700.0,200.0,400.0,300.0,2400.0,6000.0,3900.0,1200.0,700.0,200.0
all_households,middle_quintile,1983,54000.0,47600.0,35500.0,0.0,2000.0,2200.0,100.0,300.0,1200.0,300.0,0.0,2600.0,200.0,300.0,300.0,2600.0,6400.0,4200.0,1300.0,600.0,200.0
all_households,middle_quintile,1984,57200.0,51100.0,37200.0,200.0,2000.0,2400.0,100.0,300.0,1800.0,300.0,0.0,2900.0,300.0,400.0,400.0,2900.0,6000.0,4100.0,1400.0,400.0,200.0
all_households,middle_quintile,1985,57300.0,51000.0,37300.0,200.0,2000.0,2500.0,100.0,300.0,1300.0,300.0,0.0,2800.0,300.0,400.0,400.0,3100.0,6300.0,4200.0,1500.0,400.0,200.0
all_households,middle_quintile,1986,58500.0,51700.0,37400.0,300.0,2000.0,2600.0,100.0,300.0,1500.0,400.0,0.0,2700.0,200.0,400.0,400.0,3300.0,6800.0,4500.0,1600.0,400.0,200.0
